type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_646923735447140	646923735447140_784361955036650	https://www.facebook.com/646923735447140/posts/784361955036650	Votato! Domani spediamo le schede.					2016-11-17T19:04:07+0000	1479409447	2016-11-17 20:04:07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_646923735447140	646923735447140_784291075043738	https://www.facebook.com/646923735447140/posts/784291075043738	Una considerazione molto semplice ma che rende bene l idea...chi comanda attualmente l Europa (sistema bancario  finanza internazionale  multinazionali...) ha messo dei fantocci a governare (Monti  Letta  Renzi)  ADDIRITTURA SENZA ALCUN VOTO QUESTA VOLTA; a loro volta i fantocci che con la loro arroganza fingono di comandare  propongono niente meno che di modificare la costituzione...ora secondo voi chi è che ha interessi nel modificare la costituzione??? Renzi e la sua cricca  o chi ce li ha messi  ovvero chi ha come unico scopo quello di arricchirsi e accrescere il potere di queste organizzazioni criminali??? Riflettete gente!					2016-11-17T15:34:59+0000	1479396899	2016-11-17 16:34:59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_646923735447140	646923735447140_10209177638016690	https://www.facebook.com/646923735447140/posts/10209177638016690	 Bisogna cambiare tutto per non cambiare niente 	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15032292_10209177638016690_6308757615884586668_n.jpg?oh=0f5b708c993358d6b71f8470e4e8ce03&oe=58CE8B95	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15032292_10209177638016690_6308757615884586668_n.jpg?oh=6f098f418a6696d01314e450edc491d5&oe=58BEC698	https://www.facebook.com/photo.php?fbid=10209177638016690&set=o.646923735447140&type=3	facebook.com	2016-11-16T12:54:54+0000	1479300894	2016-11-16 13:54:54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_646923735447140	646923735447140_783732875099558	https://www.facebook.com/646923735447140/posts/783732875099558	Scusate  ho pubblicato un commento (richiesta di spiegazioni) ma non lo trovo...					2016-11-16T11:04:26+0000	1479294266	2016-11-16 12:04:26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_646923735447140	646923735447140_783732545099591	https://www.facebook.com/646923735447140/posts/783732545099591	Gradirei che qualcuno mi chiarisse questo passaggio del nuovo testo costituzionale  che parrebbe dare allo Stato la possibilità di  appropriarsi delle competenze di cui sono titolari le Regioni:  la tutela e la promozione della concorrenza; il coordinamento della Finanza pubblica e del sistema tributario; le norme sul procedimento amministrativo e sulla disciplina giuridica del lavoro pubblico; le disposizioni generali per la tutela della salute; la sicurezza alimentare; la tutela e la sicurezza del lavoro e le politiche attive del lavoro; l ordinamento scolastico; l istruzione universitaria e la programmazione strategica della ricerca scientifica e tecnologica ...perché questo darebbe allo Stato praticamente un potere assoluto...Grazie.					2016-11-16T11:02:57+0000	1479294177	2016-11-16 12:02:57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_646923735447140	646923735447140_10211558315459420	https://www.facebook.com/646923735447140/posts/10211558315459420	https://www.facebook.com/immedialive/videos/1827120687573294/	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992549_1827168340901862_8596630252740935680_n.jpg?oh=09920debb5f44fc42e90136333f6adb7&oe=58BACB19	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14992549_1827168340901862_8596630252740935680_n.jpg?oh=6c6855355641bc62d52c06e6df2e95b5&oe=58C5023B	https://www.facebook.com/immedialive/videos/1827120687573294/	facebook.com	2016-11-15T18:32:21+0000	1479234741	2016-11-15 19:32:21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_646923735447140	646923735447140_781134528692726	https://www.facebook.com/646923735447140/posts/781134528692726	Salve  io gradirei sapere questo: Se vince il SÌ  si arriva a 100 senatori (mi interessa per ora sapere solo questo punto) ma gli altri 200 circa che lasceranno la poltrona  cosa faranno? E con quale criterio verranno scelti di rimanere o di restare in Patlamento?  Che trattamento di fine lavoro avranno? Quale indennizzo ? Parlo di costi ovviamente.... Se qualcuno sa  mi può delucidare? Grazie					2016-11-11T13:56:47+0000	1478872607	2016-11-11 14:56:47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_646923735447140	646923735447140_10210936022226707	https://www.facebook.com/646923735447140/posts/10210936022226707	https://www.facebook.com/unicaltrip/videos/400864893636916/	https://scontent.xx.fbcdn.net/v/l/t15.0-10/s130x130/14900268_400937363629669_5724322228741341184_n.jpg?oh=efb48cb79a17363f22c233ceeb0e876a&oe=58B6F413	https://scontent.xx.fbcdn.net/v/l/t15.0-10/s720x720/14900268_400937363629669_5724322228741341184_n.jpg?oh=cbf776fa604fb539598e070785858b45&oe=58C972A9	https://www.facebook.com/unicaltrip/videos/400864893636916/	facebook.com	2016-11-11T00:22:30+0000	1478823750	2016-11-11 01:22:30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_user_646923735447140	646923735447140_592444367611628	https://www.facebook.com/646923735447140/posts/592444367611628	https://m.youtube.com/watch?v=SvJZSgxA4n8	https://external.xx.fbcdn.net/safe_image.php?d=AQCgw2jcn5b9vqyt&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FSvJZSgxA4n8%2Fmaxresdefault.jpg&cfs=1&sx=287&sy=0&sw=720&sh=720	https://external.xx.fbcdn.net/safe_image.php?d=AQDMo2NevgzHj25R&w=720&h=720&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FSvJZSgxA4n8%2Fmaxresdefault.jpg&cfs=1&sx=287&sy=0&sw=720&sh=720	https://m.youtube.com/watch?v=SvJZSgxA4n8	m.youtube.com	2016-11-09T13:32:59+0000	1478698379	2016-11-09 14:32:59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_646923735447140	646923735447140_10210065799175579	https://www.facebook.com/646923735447140/posts/10210065799175579	http://www.butac.it/referendum-costituzionale-10-punti-per-il-no-referendum-costituzione/  Da leggere tutto ... interessante	https://external.xx.fbcdn.net/safe_image.php?d=AQBAJuV7F6L-HXJx&w=130&h=130&url=http%3A%2F%2Fdb0slott206vn.cloudfront.net%2Fwp-content%2Fuploads%2F2016%2F10%2FREALITYCHECK1.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQDwYSNpFjNmWcFl&url=http%3A%2F%2Fdb0slott206vn.cloudfront.net%2Fwp-content%2Fuploads%2F2016%2F10%2FREALITYCHECK1.jpg	http://www.butac.it/referendum-costituzionale-10-punti-per-il-no-referendum-costituzione/	butac.it	2016-11-08T23:33:47+0000	1478648027	2016-11-09 00:33:47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
